text,date
신한FAN 11월 신규가입 이벤트,2017.11.01~2017.11.30
신한FAN 이용금액별 포인트 적립 이벤트,2017.11.17~2017.11.30
FAN더치페이 런칭 이벤트,2017.11.09~2017.11.30
신한카드 신규발급 캐시백 이벤트,2017.12.01~2017.12.28
MF일반대출이 드리는 스타벅스 커피 한잔의 여유,2017.12.01~2017.12.28
Deep Dream카드 출시 기념 D·B·D·B·Deep Dream 이벤트,2017.09.22~2017.11.15
Deep Dream 출시기념 국가딥[Deep]표 선발전,2017.10.24~2017.11.12
신한 FAN 900만명 가입기념 Go & Jump! 이벤트,2017.10.23~2017.11.19
결제계좌를 변경하시고 6천원 캐시백 받으세요,2017.07.01~2017.12.28
신한카드 창립 10주년 체크카드 Big 이벤트2,2017.10.18~2017.11.16
해외직구 EBATES 대박 추가 캐시백,2017.11.28~2017.12.28
신한카드와 듀오 2018 미팅 이벤트,2017.11.23~2018.01.18
롯데호텔앤리조트 연말 패키지 이벤트,2017.11.23~2018.01.30
nest hotelX신한카드 연말 패키지 이벤트,2017.11.21~2017.12.15
신한카드 × YOOX 추가할인+캐시백 이벤트,2017.11.16~2017.11.30
신한 FAN 탑스클럽 프리미엄 쿠폰 체험 이벤트,2017.11.16~2017.12.15
신한카드의 특별한 11월 행사 안내,2017.11.15~2017.11.30
솔로몬 수학의 법칙 최대 51% 할인 특별 이벤트,2017.11.09~2017.12.28
전국 소·대형 운송비 카드결제시 2%할인 또는 4%적립,2017.11.16~2017.12.28
아고다 국내 펜션 특별할인 이벤트,2017.11.15~2017.12.28
다이소 신한카드 출시기념 연회비 캐시백 이벤트,2017.11.13~2017.12.28
최대 50% 할인 11월 올댓쇼핑 대축제!,2017.11.14~2017.11.30
밀레니엄 서울힐튼 The BEST카드 무료숙박 이벤트,2017.11.13~2018.12.30
FAN 교통카드 캐시백 이벤트,2017.11.01~2017.11.30
신한 FAN으로 제주도 렌트카 예약하세요!,2017.11.10~2017.12.28
신한카드 × 에이스침대 사은품 이벤트,2017.11.13~2017.12.24
Lady Propose 11월 영화 이벤트,2017.11.08~2017.11.30
IKEA(이케아) 3/6/12개월 무이자 할부,2017.05.01~2017.12.28
"도시가스 자동이체신청 최대 5,000원 캐시백!",2017.11.07~2017.12.28
Noon카드 이용고객 쿠킹클래스 초대 이벤트,2017.11.06~2017.11.13
EBATES 블랙프라이데이 대박 추가 캐시백,2017.11.20~2017.11.26
해외쇼핑 YOOX 전상품 5% 추가할인,2017.11.01~2017.11.20
"아고다 호텔 할인 이벤트 (대만, 스페인)",2017.11.02~2017.11.30
신변보호서비스 신규 가입 이벤트,2017.11.01~2017.11.30
파라다이스 시티 Afternoon Tea Set 제공,2017.11.01~2017.12.28
파라다이스호텔 부산 Only for Shinhancard,2017.11.01~2017.11.30
웨스틴조선부산 Flavor of Winter 할인,2017.11.01~2017.12.28
신한카드 신규발급 캐시백 이벤트,2017.11.01~2017.11.29
올댓여행 부킹닷컴 마이신한포인트 8% 적립,2017.11.01~2017.12.28
신한 FAN에선 게임만해도 매일매일 포인트,2017.11.01~2017.11.29
혜택이 내게로 찾아오는 위치기반 알림 서비스!,2017.11.01~2017.11.30
"KB 손해보험 다이렉트 최대 30,000원 캐시백",2017.11.01~2017.12.28
MF일반대출이 드리는 스타벅스 커피 한잔의 여유,2017.11.01~2017.11.29
신한카드 지방세/국세 이벤트,2017.11.01~2017.12.28
신한카드 지방세 납부 이벤트,2017.11.01~2017.11.30
신세계백화점 카드 캐시백 이벤트,2017.11.01~2017.12.28
신한카드 고객님을 위한 Special Day 이벤트,2017.11.01~2017.11.30
뮤지컬 ‘오!캐롤’- 부산 1+1 이벤트,2017.10.26~2017.11.24
신한 FAN 탑스클럽 프리미엄 쿠폰 체험 이벤트,2017.10.20~2017.11.10
전국 소·대형 운송비 카드 결제 시 2%할인 또는 4%적립,2017.10.16~2017.11.14
가족형금융안심서비스 신규출시 이벤트,2017.10.23~2017.11.30
LG 페이 신한카드 캐시백 이벤트,2017.10.16~2017.11.30
솔로몬 수학의 법칙 최대 51% 할인 특별 이벤트,2017.10.16~2017.11.08
꼼에스타 할인 이벤트,2017.09.07~2017.11.30
스포츠누리카드 스포츠공제보험 무료 가입 이벤트,2017.02.01~2017.12.28
더 플라자 호텔 Lounge Happy Hour 이벤트,2017.10.16~2017.12.28
GREAT 아트 컬렉션 <라빠르트망> 20% 할인,2017.10.18~2017.11.05
국내 모든 가맹점에서! 2~3개월 무이자 할부,2017.10.01~2017.12.28
롯데호텔 Show Me The Card Autumn Breeze 이벤트,2017.10.01~2017.11.30
카카오페이 지방세 캐시백 이벤트,2017.09.27~2017.12.28
공항라운지 이용방법 확대 이벤트,2017.09.18~2018.02.01
롯데호텔 Haute Afternoon 이벤트,2017.09.01~2017.11.30
부산 웨스틴조선호텔 까밀리아 뷔페권 이벤트,2017.09.18~2017.11.30
신한 FAN 신규가입 이벤트 프로야구 H2 특급 아이템!,2017.09.14~2017.12.28
